Strike;IV;
60.456650;0.835817;
60.626336;0.834859;
60.796498;0.833900;
60.967138;0.832941;
61.138256;0.831981;
61.309855;0.831020;
61.481936;0.830058;
61.654499;0.829096;
61.827547;0.828133;
62.001080;0.827169;
62.175101;0.826204;
62.349610;0.825239;
62.524609;0.824273;
62.700099;0.823306;
62.876081;0.822338;
63.052558;0.821370;
63.229529;0.820401;
63.406998;0.819431;
63.584965;0.818460;
63.763431;0.817489;
63.942398;0.816517;
64.121867;0.815544;
64.301840;0.814570;
64.482318;0.813596;
64.663303;0.812621;
64.844796;0.811645;
65.026798;0.810668;
65.209311;0.809691;
65.392336;0.808713;
65.575875;0.807734;
65.759929;0.806755;
65.944500;0.805774;
66.129588;0.804793;
66.315196;0.803811;
66.501326;0.802829;
66.687977;0.801845;
66.875153;0.800861;
67.062853;0.799877;
67.251081;0.798891;
67.439837;0.797905;
67.629123;0.796918;
67.818940;0.795930;
68.009289;0.794941;
68.200173;0.793952;
68.391593;0.792962;
68.583550;0.791971;
68.776046;0.790980;
68.969082;0.789987;
69.162660;0.788994;
69.356781;0.788001;
69.551447;0.787006;
69.746660;0.786011;
69.942420;0.785015;
70.138730;0.784018;
70.335590;0.783021;
70.533004;0.782023;
70.730971;0.781024;
70.929494;0.780024;
71.128574;0.779024;
71.328213;0.778023;
71.528413;0.777021;
71.729174;0.776018;
71.930499;0.775015;
72.132389;0.774011;
72.334845;0.773006;
72.537870;0.772001;
72.741464;0.770995;
72.945630;0.769988;
73.150369;0.768980;
73.355683;0.767972;
73.561573;0.766963;
73.768041;0.765953;
73.975088;0.764942;
74.182716;0.763931;
74.390927;0.762919;
74.599723;0.761906;
74.809105;0.760893;
75.019074;0.759879;
75.229633;0.758864;
75.440782;0.757849;
75.652524;0.756832;
75.864861;0.755816;
76.077793;0.754798;
76.291324;0.753780;
76.505453;0.752761;
76.720184;0.751741;
76.935517;0.750721;
77.151454;0.749700;
77.367998;0.748678;
77.585149;0.747655;
77.802910;0.746632;
78.021282;0.745609;
78.240267;0.744584;
78.459867;0.743559;
78.680083;0.742533;
78.900917;0.741507;
79.122371;0.740480;
79.344446;0.739452;
79.567145;0.738423;
79.790469;0.737394;
80.014420;0.736364;
80.238999;0.735334;
80.464208;0.734303;
80.690050;0.733271;
80.916526;0.732239;
81.143637;0.731206;
81.371386;0.730172;
81.599773;0.729138;
81.828802;0.728103;
82.058474;0.727067;
82.288790;0.726031;
82.519753;0.724994;
82.751364;0.723957;
82.983625;0.722919;
83.216538;0.721880;
83.450105;0.720841;
83.684327;0.719801;
83.919207;0.718760;
84.154746;0.717719;
84.390946;0.716678;
84.627809;0.715636;
84.865337;0.714593;
85.103531;0.713549;
85.342394;0.712505;
85.581927;0.711461;
85.822133;0.710416;
86.063013;0.709370;
86.304569;0.708324;
86.546803;0.707277;
86.789717;0.706230;
87.033313;0.705182;
87.277592;0.704134;
87.522557;0.703085;
87.768210;0.702035;
88.014552;0.700985;
88.261585;0.699935;
88.509312;0.698884;
88.757734;0.697833;
89.006853;0.696781;
89.256672;0.695728;
89.507192;0.694675;
89.758415;0.693622;
90.010343;0.692568;
90.262978;0.691514;
90.516322;0.690459;
90.770377;0.689404;
91.025146;0.688348;
91.280629;0.687292;
91.536830;0.686235;
91.793749;0.685178;
92.051390;0.684121;
92.309754;0.683063;
92.568842;0.682005;
92.828659;0.680946;
93.089204;0.679887;
93.350481;0.678828;
93.612491;0.677768;
93.875236;0.676708;
94.138719;0.675647;
94.402941;0.674586;
94.667905;0.673525;
94.933613;0.672464;
95.200066;0.671402;
95.467268;0.670340;
95.735219;0.669277;
96.003922;0.668214;
96.273380;0.667151;
96.543594;0.666088;
96.814566;0.665024;
97.086299;0.663960;
97.358794;0.662896;
97.632054;0.661832;
97.906081;0.660767;
98.180878;0.659702;
98.456445;0.658637;
98.732787;0.657572;
99.009903;0.656506;
99.287798;0.655441;
99.566472;0.654375;
99.845929;0.653309;
100.126170;0.652243;
100.407197;0.651176;
100.689014;0.650110;
100.971621;0.649043;
101.255022;0.647977;
101.539218;0.646910;
101.824211;0.645843;
102.110005;0.644776;
102.396600;0.643709;
102.684000;0.642642;
102.972207;0.641575;
103.261223;0.640508;
103.551049;0.639441;
103.841690;0.638374;
104.133146;0.637307;
104.425420;0.636240;
104.718514;0.635173;
105.012431;0.634106;
105.307173;0.633039;
105.602743;0.631972;
105.899141;0.630905;
106.196372;0.629839;
106.494437;0.628772;
106.793339;0.627706;
107.093079;0.626640;
107.393661;0.625574;
107.695087;0.624508;
107.997358;0.623442;
108.300478;0.622377;
108.604449;0.621312;
108.909273;0.620247;
109.214952;0.619182;
109.521489;0.618118;
109.828887;0.617054;
110.137147;0.615990;
110.446273;0.614926;
110.756267;0.613863;
111.067130;0.612800;
111.378866;0.611738;
111.691477;0.610676;
112.004965;0.609614;
112.319333;0.608553;
112.634584;0.607493;
112.950719;0.606432;
113.267742;0.605373;
113.585654;0.604313;
113.904459;0.603255;
114.224159;0.602196;
114.544755;0.601139;
114.866252;0.600082;
115.188651;0.599025;
115.511955;0.597969;
115.836166;0.596914;
116.161288;0.595860;
116.487322;0.594806;
116.814271;0.593753;
117.142137;0.592700;
117.470924;0.591648;
117.800634;0.590598;
118.131269;0.589547;
118.462832;0.588498;
118.795326;0.587449;
119.128753;0.586402;
119.463115;0.585355;
119.798417;0.584309;
120.134659;0.583264;
120.471845;0.582220;
120.809977;0.581177;
121.149059;0.580135;
121.489092;0.579093;
121.830080;0.578053;
122.172024;0.577014;
122.514929;0.575976;
122.858796;0.574939;
123.203628;0.573904;
123.549428;0.572869;
123.896198;0.571835;
124.243942;0.570803;
124.592661;0.569772;
124.942360;0.568742;
125.293040;0.567714;
125.644704;0.566686;
125.997356;0.565660;
126.350997;0.564636;
126.705630;0.563612;
127.061259;0.562591;
127.417887;0.561570;
127.775515;0.560551;
128.134147;0.559534;
128.493785;0.558518;
128.854433;0.557503;
129.216093;0.556490;
129.578768;0.555479;
129.942462;0.554469;
130.307176;0.553461;
130.672913;0.552454;
131.039677;0.551449;
131.407471;0.550446;
131.776297;0.549445;
132.146158;0.548445;
132.517057;0.547447;
132.888997;0.546451;
133.261981;0.545457;
133.636012;0.544465;
134.011093;0.543475;
134.387227;0.542486;
134.764416;0.541500;
135.142664;0.540515;
135.521973;0.539532;
135.902347;0.538552;
136.283789;0.537574;
136.666302;0.536597;
137.049888;0.535623;
137.434550;0.534651;
137.820293;0.533681;
138.207118;0.532714;
138.595028;0.531748;
138.984028;0.530785;
139.374119;0.529824;
139.765305;0.528866;
140.157589;0.527909;
140.550974;0.526956;
140.945463;0.526004;
141.341060;0.525055;
141.737767;0.524109;
142.135587;0.523165;
142.534524;0.522223;
142.934580;0.521284;
143.335760;0.520348;
143.738065;0.519414;
144.141500;0.518483;
144.546067;0.517555;
144.951769;0.516629;
145.358610;0.515706;
145.766593;0.514786;
146.175721;0.513868;
146.585998;0.512953;
146.997426;0.512041;
147.410008;0.511132;
147.823749;0.510226;
148.238651;0.509323;
148.654717;0.508423;
149.071952;0.507525;
149.490357;0.506631;
149.909937;0.505740;
150.330694;0.504851;
150.752633;0.503966;
151.175755;0.503084;
151.600065;0.502205;
152.025566;0.501329;
152.452262;0.500456;
152.880155;0.499587;
153.309249;0.498721;
153.739547;0.497858;
154.171053;0.496998;
154.603770;0.496141;
155.037702;0.495288;
155.472852;0.494438;
155.909223;0.493592;
156.346818;0.492749;
156.785642;0.491909;
157.225698;0.491073;
157.666989;0.490241;
158.109518;0.489411;
158.553290;0.488586;
158.998307;0.487763;
159.444573;0.486945;
159.892091;0.486130;
160.340866;0.485318;
160.790900;0.484510;
161.242197;0.483706;
161.694761;0.482906;
162.148596;0.482109;
162.603704;0.481316;
163.060089;0.480526;
163.517755;0.479740;
163.976706;0.478959;
164.436945;0.478180;
164.898476;0.477406;
165.361302;0.476635;
165.825428;0.475868;
166.290855;0.475106;
166.757590;0.474346;
167.225634;0.473591;
167.694992;0.472840;
168.165667;0.472093;
168.637664;0.471349;
169.110985;0.470609;
169.585634;0.469874;
170.061616;0.469142;
170.538934;0.468415;
171.017591;0.467691;
171.497592;0.466971;
171.978940;0.466255;
172.461640;0.465544;
172.945694;0.464836;
173.431106;0.464133;
173.917881;0.463433;
174.406023;0.462738;
174.895534;0.462046;
175.386419;0.461359;
175.878682;0.460676;
176.372327;0.459997;
176.867357;0.459322;
177.363777;0.458651;
177.861590;0.457985;
178.360800;0.457322;
178.861412;0.456664;
179.363428;0.456010;
179.866854;0.455360;
180.371692;0.454714;
180.877948;0.454072;
181.385624;0.453435;
181.894725;0.452801;
182.405255;0.452172;
182.917218;0.451547;
183.430618;0.450926;
183.945459;0.450310;
184.461745;0.449698;
184.979481;0.449089;
185.498669;0.448485;
186.019314;0.447886;
186.541421;0.447290;
187.064993;0.446699;
187.590035;0.446112;
188.116550;0.445529;
188.644544;0.444950;
189.174019;0.444376;
189.704980;0.443805;
190.237431;0.443239;
190.771377;0.442677;
191.306822;0.442120;
191.843769;0.441566;
192.382224;0.441017;
192.922190;0.440472;
193.463671;0.439931;
194.006672;0.439394;
194.551197;0.438861;
195.097251;0.438333;
195.644837;0.437809;
196.193960;0.437289;
196.744624;0.436773;
197.296834;0.436261;
197.850594;0.435754;
198.405908;0.435250;
198.962781;0.434751;
199.521216;0.434256;
200.081219;0.433765;
200.642794;0.433278;
201.205945;0.432795;
201.770677;0.432316;
202.336994;0.431841;
202.904900;0.431371;
203.474400;0.430904;
204.045499;0.430442;
204.618200;0.429983;
205.192509;0.429529;
205.768430;0.429079;
206.345967;0.428632;
206.925125;0.428190;
207.505909;0.427752;
208.088323;0.427318;
208.672372;0.426887;
209.258060;0.426461;
209.845392;0.426038;
210.434372;0.425620;
211.025005;0.425205;
211.617296;0.424795;
212.211250;0.424388;
212.806871;0.423985;
213.404163;0.423586;
214.003132;0.423191;
214.603782;0.422800;
215.206117;0.422412;
215.810144;0.422029;
216.415866;0.421649;
217.023287;0.421273;
217.632414;0.420901;
218.243250;0.420533;
218.855801;0.420168;
219.470071;0.419807;
220.086066;0.419450;
220.703789;0.419096;
221.323246;0.418747;
221.944441;0.418400;
222.567380;0.418058;
223.192068;0.417719;
223.818509;0.417384;
224.446708;0.417052;
225.076670;0.416725;
225.708400;0.416400;
226.341904;0.416079;
226.977185;0.415762;
227.614250;0.415448;
228.253103;0.415138;
228.893749;0.414832;
229.536193;0.414528;
230.180440;0.414229;
230.826495;0.413933;
231.474364;0.413640;
232.124051;0.413350;
232.775561;0.413064;
233.428900;0.412782;
234.084073;0.412503;
234.741085;0.412227;
235.399941;0.411954;
236.060646;0.411685;
236.723206;0.411419;
237.387625;0.411157;
238.053909;0.410897;
238.722063;0.410641;
239.392092;0.410388;
240.064002;0.410139;
240.737798;0.409892;
241.413485;0.409649;
242.091069;0.409409;
242.770554;0.409172;
243.451946;0.408938;
244.135251;0.408708;
244.820474;0.408480;
245.507620;0.408256;
246.196695;0.408034;
246.887704;0.407816;
247.580652;0.407601;
248.275545;0.407388;
248.972388;0.407179;
249.671188;0.406973;
250.371948;0.406769;
251.074676;0.406569;
251.779376;0.406371;
252.486054;0.406177;
253.194715;0.405985;
253.905365;0.405796;
254.618010;0.405610;
255.332655;0.405427;
256.049306;0.405247;
256.767969;0.405069;
257.488648;0.404895;
258.211350;0.404723;
258.936081;0.404553;
259.662846;0.404387;
260.391650;0.404223;
261.122500;0.404062;
261.855402;0.403904;
262.590361;0.403748;
263.327382;0.403595;
264.066472;0.403445;
264.807636;0.403297;
265.550881;0.403152;
266.296212;0.403010;
267.043635;0.402870;
267.793155;0.402732;
268.544779;0.402597;
269.298513;0.402465;
270.054363;0.402335;
270.812333;0.402208;
271.572432;0.402083;
272.334663;0.401960;
273.099034;0.401840;
273.865551;0.401723;
274.634219;0.401608;
275.405044;0.401495;
276.178033;0.401384;
276.953191;0.401276;
277.730525;0.401171;
278.510041;0.401067;
279.291745;0.400966;
280.075642;0.400868;
280.861740;0.400771;
281.650045;0.400677;
282.440561;0.400585;
283.233297;0.400495;
284.028258;0.400408;
284.825449;0.400323;
285.624879;0.400239;
286.426552;0.400159;
287.230475;0.400080;
288.036655;0.400003;
288.845097;0.399929;
289.655809;0.399856;
290.468796;0.399786;
291.284064;0.399718;
292.101621;0.399652;
292.921473;0.399588;
293.743626;0.399526;
294.568086;0.399466;
295.394860;0.399408;
296.223955;0.399352;
297.055377;0.399298;
297.889133;0.399247;
298.725228;0.399197;
299.563671;0.399149;
300.404466;0.399102;
301.247622;0.399058;
302.093144;0.399016;
302.941039;0.398976;
303.791314;0.398937;
304.643976;0.398901;
305.499030;0.398866;
306.356485;0.398833;
307.216346;0.398802;
308.078621;0.398773;
308.943316;0.398745;
309.810438;0.398719;
310.679993;0.398696;
311.551989;0.398673;
312.426433;0.398653;
313.303331;0.398634;
314.182690;0.398617;
315.064518;0.398602;
315.948820;0.398589;
316.835604;0.398577;
317.724878;0.398567;
318.616647;0.398558;
319.510919;0.398551;
320.407702;0.398546;
321.307001;0.398543;
322.208824;0.398541;
323.113179;0.398540;
324.020072;0.398542;
324.929510;0.398545;
325.841501;0.398549;
326.756051;0.398555;
327.673169;0.398563;
328.592860;0.398572;
329.515133;0.398582;
330.439995;0.398594;
331.367452;0.398608;
332.297512;0.398623;
333.230183;0.398640;
334.165472;0.398658;
335.103385;0.398677;
336.043932;0.398698;
336.987118;0.398720;
337.932951;0.398744;
338.881439;0.398770;
339.832589;0.398796;
340.786409;0.398824;
341.742906;0.398854;
342.702087;0.398885;
343.663961;0.398917;
344.628534;0.398950;
345.595815;0.398985;
346.565811;0.399021;
347.538529;0.399059;
348.513977;0.399098;
349.492163;0.399138;
350.473095;0.399179;
351.456780;0.399222;
352.443226;0.399266;
353.432440;0.399311;
354.424431;0.399358;
355.419206;0.399406;
356.416774;0.399455;
357.417141;0.399505;
358.420316;0.399557;
359.426307;0.399609;
360.435121;0.399663;
361.446766;0.399718;
362.461251;0.399775;
363.478584;0.399832;
364.498772;0.399891;
365.521823;0.399950;
366.547745;0.400011;
367.576548;0.400073;
368.608237;0.400137;
369.642823;0.400201;
370.680312;0.400267;
371.720713;0.400333;
372.764034;0.400401;
373.810284;0.400470;
374.859470;0.400539;
375.911601;0.400610;
376.966685;0.400682;
378.024730;0.400755;
379.085745;0.400829;
380.149738;0.400905;
381.216718;0.400981;
382.286692;0.401058;
383.359669;0.401136;
384.435658;0.401215;
385.514666;0.401296;
386.596704;0.401377;
387.681778;0.401459;
388.769898;0.401542;
389.861071;0.401627;
390.955308;0.401712;
392.052616;0.401798;
393.153003;0.401885;
394.256479;0.401973;
395.363052;0.402062;
396.472731;0.402152;
397.585525;0.402243;
398.701442;0.402334;
399.820491;0.402427;
400.942681;0.402521;
402.068020;0.402615;
403.196519;0.402711;
404.328184;0.402807;
405.463026;0.402904;
406.601053;0.403002;
407.742274;0.403101;
408.886698;0.403200;
410.034335;0.403301;
411.185192;0.403402;
412.339280;0.403505;
413.496606;0.403608;
414.657182;0.403712;
415.821014;0.403816;
416.988113;0.403922;
418.158488;0.404028;
419.332148;0.404135;
420.509102;0.404243;
421.689359;0.404352;
422.872929;0.404461;
424.059821;0.404572;
425.250044;0.404683;
426.443608;0.404795;
427.640522;0.404907;
428.840795;0.405021;
430.044438;0.405135;
431.251458;0.405249;
432.461866;0.405365;
433.675672;0.405481;
434.892884;0.405598;
436.113513;0.405716;
437.337568;0.405835;
438.565058;0.405954;
439.795994;0.406074;
441.030384;0.406194;
442.268240;0.406315;
443.509569;0.406437;
444.754382;0.406560;
446.002690;0.406683;
447.254501;0.406807;
448.509825;0.406932;
449.768673;0.407057;
451.031055;0.407183;
452.296979;0.407310;
453.566456;0.407437;
454.839497;0.407565;
456.116111;0.407694;
457.396307;0.407823;
458.680097;0.407953;
459.967490;0.408083;
461.258497;0.408214;
462.553127;0.408346;
463.851391;0.408478;
465.153298;0.408611;
466.458860;0.408744;
467.768086;0.408879;
469.080987;0.409013;
470.397573;0.409148;
471.717854;0.409284;
473.041840;0.409421;
474.369543;0.409558;
475.700972;0.409695;
477.036139;0.409833;
478.375052;0.409972;
479.717724;0.410111;
481.064164;0.410251;
482.414384;0.410391;
483.768393;0.410532;
485.126202;0.410674;
486.487822;0.410816;
487.853264;0.410958;
489.222539;0.411101;
490.595657;0.411245;
491.972628;0.411389;
493.353465;0.411533;
494.738177;0.411679;
496.126775;0.411824;
497.519271;0.411970;
498.915676;0.412117;
500.316000;0.412264;
501.720254;0.412411;
503.128449;0.412560;
504.540597;0.412708;
505.956708;0.412857;
507.376795;0.413007;
508.800866;0.413157;
510.228935;0.413307;
511.661012;0.413458;
513.097109;0.413609;
514.537236;0.413761;
515.981405;0.413913;
517.429628;0.414066;
518.881916;0.414219;
520.338279;0.414373;
521.798731;0.414527;
523.263281;0.414682;
524.731942;0.414837;
526.204725;0.414992;
527.681642;0.415148;
529.162704;0.415304;
530.647923;0.415461;
532.137311;0.415618;
533.630879;0.415775;
535.128639;0.415933;
536.630603;0.416092;
538.136783;0.416250;
539.647190;0.416409;
541.161836;0.416569;
542.680734;0.416729;
544.203894;0.416889;
545.731330;0.417050;
547.263053;0.417211;
548.799075;0.417372;
550.339408;0.417534;
551.884064;0.417696;
553.433056;0.417859;
554.986396;0.418022;
556.544095;0.418185;
558.106167;0.418349;
559.672623;0.418513;
561.243475;0.418678;
562.818736;0.418842;
564.398419;0.419007;
565.982535;0.419173;
567.571098;0.419339;
569.164119;0.419505;
570.761612;0.419672;
572.363588;0.419838;
573.970060;0.420006;
575.581042;0.420173;
577.196545;0.420341;
578.816582;0.420509;
580.441167;0.420678;
582.070311;0.420847;
583.704028;0.421016;
585.342330;0.421185;
586.985230;0.421355;
588.632742;0.421525;
590.284877;0.421696;
591.941650;0.421867;
593.603073;0.422038;
595.269159;0.422209;
596.939922;0.422381;
598.615373;0.422553;
600.295528;0.422725;
601.980398;0.422898;
603.669997;0.423071;
605.364338;0.423244;
607.063435;0.423417;
